,batch_size,momentum,lr,width,weight_decay,grawa,mgrawa,avg_train_loss,avg_train_error,avg_test_loss,avg_test_error
91,128,0.5,0.1,8,0,60.2219123840332,281.35540771484375,3.2962646484375e-05,0.0,1.0600319846153259,21.230000000000004
92,128,0.5,0.1,4,0.01,185681.765625,662352.875,0.01611541718482971,0.0,0.3938644616127014,11.019999999999996
93,32,0.9,0.1,6,0.0001,112.82804870605469,728.3727416992188,0.00019902048110961913,0.0,0.5269765174865723,13.919999999999998
94,128,0.1,0.05,6,0,210.90780639648438,1031.015380859375,0.00012529483795166015,0.0,1.3747976375579833,27.810000000000002
95,128,0.5,0.1,6,0.01,170699.53125,636887.5,0.01551536298751831,0.0,0.36570576515197756,10.98
96,128,0.5,0.05,8,0.01,110150.0859375,450571.3125,0.017883756151199342,0.0,0.3963506782531738,12.050000000000004
97,32,0.1,0.1,4,0.01,131232.078125,472031.84375,0.016002011585235596,0.0,0.38262631254196167,11.580000000000002
98,32,0.5,0.1,6,0.01,103225.9921875,370778.46875,0.0145787464427948,0.0,0.40066919860839845,11.850000000000005
99,128,0.1,0.075,6,0.0001,299.818359375,1445.3853759765625,0.0001546989631652832,0.0,1.2148143280029298,25.990000000000002
100,128,0.9,0.05,6,0.01,120053.9765625,464006.3125,0.016287670192718505,0.0,0.37939766597747804,11.309999999999999
101,128,0.5,0.1,8,0.0001,205.98265075683594,939.2694091796875,0.00010832210540771485,0.0,0.9043142629623413,20.589999999999996
102,512,0.5,0.075,6,0,549.399658203125,2645.99658203125,0.00033502229690551757,0.0,1.4257967371940612,29.059999999999995
103,32,0.5,0.1,4,0,3.793180465698242,18.96048927307129,2.7460861206054688e-06,0.0,1.0423074821472167,18.400000000000006
104,32,0.1,0.1,8,0,23.81618309020996,111.0588150024414,9.45892333984375e-06,0.0,1.0114715170860291,18.86
105,32,0.5,0.075,6,0.0001,306.8481750488281,1550.0838623046875,0.00021254523277282716,0.0,0.7244323469161987,17.779999999999994
106,32,0.9,0.075,6,0,1.1356441974639893,5.829123497009277,1.3149452209472656e-06,0.0,0.9615243232727051,15.180000000000005
107,512,0.5,0.075,6,0.01,119073.4453125,517674.3125,0.020503927698135378,0.0,0.5007906454086304,15.239999999999998
108,512,0.1,0.075,4,0,757.728515625,3684.80126953125,0.0004852025890350342,0.0,1.7409855773925782,33.160000000000004
109,512,0.1,0.075,6,0.01,83400.296875,411863.75,0.017220520057678223,0.0,0.6550462494850159,21.18
110,32,0.5,0.05,4,0.01,138381.890625,480080.375,0.015970243377685548,0.0,0.38798379220962526,11.240000000000006
111,128,0.1,0.05,6,0.01,112997.390625,482120.5625,0.017475862092971802,0.0,0.473616908454895,14.339999999999996
112,32,0.5,0.1,8,0.0001,95.90971374511719,466.7419738769531,5.765398025512695e-05,0.0,0.6995150031089783,16.63
113,128,0.9,0.05,6,0,17.345443725585938,82.9415512084961,1.284393310546875e-05,0.0,1.003363218688965,18.779999999999998
114,32,0.9,0.1,4,0.01,374641.46875,1349962.25,0.027301315670013426,0.09599999999999609,0.624012126159668,18.789999999999996
115,128,0.1,0.1,4,0,165.2461395263672,793.9454956054688,9.817594528198242e-05,0.0,1.330330114364624,26.21
116,512,0.5,0.075,4,0.01,148976.15625,594208.6875,0.020826797046661377,0.0,0.510575962638855,15.090000000000003
117,32,0.1,0.075,6,0.01,118627.1640625,432098.96875,0.01645985345840454,0.0,0.3434286302566528,10.09
118,128,0.5,0.075,6,0.0001,209.8934783935547,1008.98583984375,0.00012217119216918946,0.0,1.0199064027786255,22.740000000000006
119,128,0.5,0.075,4,0.0001,239.05624389648438,1187.513427734375,0.00013267017364501952,0.0,1.1725320119857787,25.33
120,32,0.5,0.075,4,0,21.71038246154785,115.69071960449219,5.008201599121094e-06,0.0,1.111169635772705,19.46
121,128,0.1,0.1,6,0.01,148636.546875,596838.3125,0.01739913154602051,0.0,0.41904073276519777,12.880000000000003
122,32,0.1,0.075,4,0.01,140032.453125,472089.875,0.01745120433807373,0.0,0.3683923661231995,10.929999999999996
123,512,0.5,0.05,4,0.0001,620.59765625,3193.46923828125,0.0004357845783233643,0.0,1.6937236320495606,31.910000000000004
124,32,0.5,0.1,6,0,4.993659496307373,24.089487075805664,3.0037879943847658e-06,0.0,1.0000537198066712,17.410000000000004
125,128,0.9,0.075,8,0,12.608451843261719,57.6696891784668,1.1310081481933593e-05,0.0,0.9433197939872742,17.62
126,512,0.9,0.1,6,0.0001,265.1051940917969,1322.696533203125,0.00019272143363952636,0.0,0.7808687467575073,17.979999999999997
127,32,0.1,0.05,6,0.0001,100.52264404296875,472.86016845703125,3.945785522460938e-05,0.0,1.0049603122711182,22.230000000000004
128,128,0.9,0.075,8,0.01,103113.453125,406456.5,0.016548498430252075,0.0,0.3963794343948364,11.550000000000004
129,512,0.1,0.05,6,0,1868.2711181640625,9245.240234375,0.0013078521633148193,0.0,1.5646475467681884,32.879999999999995
130,128,0.1,0.075,8,0,166.38943481445312,756.15966796875,8.961973190307617e-05,0.0,1.1988679273605347,24.680000000000003
131,512,0.9,0.05,6,0.0001,263.2638244628906,1323.88720703125,0.00017816144943237305,0.0,1.0242081687927247,22.88
132,512,0.9,0.1,6,0.01,211514.796875,764754.4375,0.01895483956336975,0.0,0.353964861536026,10.329999999999995
133,128,0.9,0.1,6,0,8.597675323486328,43.77919387817383,7.853355407714844e-06,0.0,0.9251087582588196,16.62
134,32,0.9,0.075,8,0,8.382183074951172,42.40774154663086,1.2170867919921874e-05,0.0,0.9745730236053467,17.069999999999997
135,32,0.9,0.05,8,0.0001,131.10337829589844,741.3722534179688,0.0001464503574371338,0.0,0.5531829662322998,14.510000000000002
136,128,0.1,0.1,6,0.0001,242.3740692138672,1170.1328125,0.0001263462257385254,0.0,1.099050380706787,23.919999999999998
137,512,0.9,0.075,6,0,56.883888244628906,278.6349792480469,4.6217670440673825e-05,0.0,1.0434231253623962,19.85
138,128,0.1,0.1,8,0.0001,317.9637145996094,1432.968994140625,0.0001460150146484375,0.0,1.0419469387054443,23.109999999999996
139,512,0.9,0.05,4,0,65.44342803955078,320.7113037109375,5.190710067749023e-05,0.0,1.3205776303291321,23.960000000000004
140,512,0.9,0.075,6,0.01,179516.265625,690233.0,0.018475353527069093,0.0,0.33218629915714265,9.599999999999998
141,32,0.9,0.075,6,0.0001,103.89839935302734,720.8121337890625,0.0001812649631500244,0.0,0.5502077047348023,13.859999999999994
142,128,0.5,0.1,6,0.0001,214.2089080810547,1021.3687133789062,0.00012215158462524413,0.0,0.935194921875,21.35
143,32,0.9,0.1,8,0.0001,157.54122924804688,924.68310546875,0.00011441158294677734,0.0,0.5376123723030091,14.259999999999994
144,128,0.9,0.05,4,0,10.661937713623047,52.28550338745117,9.406147003173829e-06,0.0,1.1135782318115235,19.520000000000003
145,32,0.1,0.05,8,0.0001,94.8499526977539,437.1059265136719,3.543292999267578e-05,0.0,0.9573705550193786,21.220000000000006
146,32,0.5,0.075,8,0.0001,92.40589904785156,439.7832336425781,4.862396240234375e-05,0.0,0.7592571100234985,17.54
147,32,0.9,0.1,8,0,1.605886459350586,8.130097389221191,2.316017150878906e-06,0.0,0.9667916091918946,15.190000000000003
148,128,0.5,0.1,4,0.0001,264.4839782714844,1334.3829345703125,0.00013905922889709472,0.0,1.0181714470863343,23.29
149,32,0.5,0.075,4,0.0001,123.5473861694336,649.7276000976562,9.046831130981445e-05,0.0,0.8041701698303223,19.389999999999997
150,512,0.5,0.1,6,0,343.8567199707031,1641.1044921875,0.00023525288581848145,0.0,1.3184856247901917,27.090000000000003
151,128,0.1,0.1,8,0.01,109566.671875,450779.78125,0.01740030804634094,0.0,0.39461761522293093,11.909999999999998
152,512,0.5,0.075,6,0.0001,600.4895629882812,2909.15478515625,0.0004149454879760742,0.0,1.3946463624954224,29.53
153,32,0.9,0.1,4,0,3.745468854904175,21.374292373657227,1.3768386840820311e-06,0.0,1.0667187397003173,15.769999999999996
154,32,0.5,0.1,6,0.0001,150.32058715820312,746.9222412109375,8.971288681030273e-05,0.0,0.6715505599975586,17.079999999999995
155,128,0.5,0.05,6,0,107.76280212402344,519.9755249023438,6.347986221313477e-05,0.0,1.2732083704471588,25.070000000000004
156,32,0.9,0.05,6,0,4.094225883483887,19.94367790222168,4.0408706665039065e-06,0.0,1.0390769101142883,16.790000000000006
157,32,0.1,0.075,4,0.0001,113.88582611083984,561.4229736328125,6.447088241577149e-05,0.0,0.9028090727806092,20.640000000000004
158,128,0.9,0.075,6,0.01,130920.640625,483131.0625,0.016664204201698302,0.0,0.4224546598434448,12.539999999999996
159,32,0.1,0.1,4,0,82.86878204345703,413.44732666015625,5.909261703491211e-05,0.0,1.0021357275009155,20.49
160,128,0.9,0.05,4,0.0001,404.2845458984375,2015.1707763671875,0.00017770916938781737,0.0,0.7606567148208618,19.57
161,512,0.1,0.05,4,0.01,94455.421875,519320.46875,0.018628191642761232,0.0,0.706390537071228,21.940000000000005
162,32,0.9,0.075,6,0.01,366927.25,1602064.875,0.03302955987930298,0.19799999999999818,0.5052426627159119,15.639999999999999
163,128,0.9,0.075,6,0,10.373119354248047,51.3522834777832,8.632354736328124e-06,0.0,0.9651993358612061,17.03
164,512,0.9,0.075,6,0.0001,252.4075164794922,1279.0341796875,0.00017871978759765626,0.0,0.9108815614700317,20.650000000000002
165,128,0.9,0.05,8,0.01,111248.5390625,461561.5625,0.015748453788757326,0.0,0.35137237854003905,10.389999999999999
166,128,0.9,0.1,8,0.0001,310.84332275390625,1601.6180419921875,0.0003406905174255371,0.0,0.6285726092338562,15.690000000000005
167,128,0.1,0.05,8,0.0001,339.01055908203125,1607.745849609375,0.00018746795654296875,0.0,1.295146743106842,27.880000000000006
168,32,0.5,0.075,6,0.01,102228.1328125,380524.25,0.014509429383277893,0.0,0.3832047918319702,11.39
169,512,0.5,0.05,6,0.01,100389.7109375,498611.15625,0.018563088636398314,0.0,0.5837265668869018,18.189999999999994
170,128,0.1,0.1,4,0.01,217547.3125,832027.6875,0.017040427618026734,0.0,0.43164829511642455,12.580000000000002
171,128,0.1,0.075,8,0.01,107360.953125,453996.53125,0.017714206552505492,0.0,0.42999287071228026,12.929999999999996
172,32,0.1,0.05,4,0.0001,370.7259826660156,1829.2642822265625,0.0002287045383453369,0.002000000000002,0.9480230207443238,22.470000000000002
173,32,0.1,0.1,6,0.01,96743.71875,364027.40625,0.01476473876953125,0.0,0.36061295251846315,10.950000000000005
174,128,0.1,0.1,4,0.0001,253.44839477539062,1220.7740478515625,0.00012930904388427735,0.0,1.1805734142303468,25.41
175,128,0.5,0.05,6,0.0001,234.81729125976562,1135.7054443359375,0.00013027801513671876,0.0,1.2250620262145997,26.02
176,32,0.5,0.05,4,0.0001,262.4383239746094,1353.9874267578125,0.00017918649673461914,0.0,0.8228317678451538,19.699999999999996
177,512,0.5,0.05,6,0,753.88623046875,3746.188720703125,0.0005062258052825928,0.0,1.5226863534927368,31.35
178,32,0.9,0.075,4,0.0001,127.26581573486328,805.4547119140625,0.0001956258773803711,0.0,0.5523402194976806,14.62
179,32,0.9,0.05,4,0.01,370790.15625,1847971.0,0.025922705492973326,0.11400000000000299,0.514940186882019,15.039999999999997
